                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.86367,                0.75757,                 1.2848,                0.85721,                0.81646,                0.89128,                0.56314,                  1.309,                 0.7583,                 1.6744,                0.00208,                0.00208,                0.00208
                     83,                0.86998,                0.75805,                 1.2877,                0.87099,                0.81108,                0.88995,                0.56136,                 1.3057,                0.75942,                 1.6744,               0.001981,               0.001981,               0.001981
                     84,                0.86118,                0.74746,                 1.2815,                0.87078,                0.80534,                0.88938,                0.56198,                  1.309,                0.76053,                 1.6792,               0.001882,               0.001882,               0.001882
                     85,                0.86251,                0.74289,                 1.2865,                0.86829,                  0.802,                0.88649,                0.56207,                   1.31,                0.75909,                 1.6791,               0.001783,               0.001783,               0.001783
                     86,                0.85482,                0.74302,                 1.2747,                0.87411,                0.79554,                0.88493,                0.56137,                 1.3098,                0.76166,                 1.6802,               0.001684,               0.001684,               0.001684
                     87,                 0.8506,                0.73997,                 1.2723,                0.87316,                0.79755,                0.88658,                0.56105,                 1.3102,                0.76154,                 1.6802,               0.001585,               0.001585,               0.001585
                     88,                0.83776,                0.72457,                 1.2653,                0.87252,                 0.7931,                0.88335,                0.56139,                  1.311,                 0.7591,                 1.6814,               0.001486,               0.001486,               0.001486
                     89,                0.84208,                0.72849,                 1.2672,                0.86728,                0.80534,                0.88638,                0.56094,                 1.3121,                0.75674,                 1.6831,               0.001387,               0.001387,               0.001387
                     90,                0.83228,                0.72574,                 1.2589,                0.86861,                0.80889,                0.88778,                0.56247,                 1.3102,                0.75606,                 1.6814,               0.001288,               0.001288,               0.001288
                     91,                0.73533,                0.45631,                 1.2393,                0.86995,                0.81108,                 0.8858,                 0.5637,                 1.3117,                0.75583,                 1.6826,               0.001189,               0.001189,               0.001189
                     92,                0.71575,                0.42888,                 1.2263,                0.86329,                0.80778,                0.88582,                0.56438,                 1.3119,                0.75846,                 1.6839,                0.00109,                0.00109,                0.00109
                     93,                 0.7073,                0.41555,                 1.2152,                0.85999,                0.81303,                0.88411,                0.56278,                 1.3126,                0.76173,                 1.6853,               0.000991,               0.000991,               0.000991
                     94,                0.69596,                0.40789,                 1.2056,                0.86038,                0.80882,                0.88671,                0.56312,                 1.3148,                 0.7613,                 1.6881,               0.000892,               0.000892,               0.000892
                     95,                0.68521,                0.40226,                 1.1985,                0.86014,                0.80721,                0.88798,                0.56156,                 1.3149,                0.75963,                 1.6919,               0.000793,               0.000793,               0.000793
                     96,                0.67613,                0.39206,                 1.1895,                0.84675,                0.82357,                0.88588,                0.56321,                 1.3149,                0.75819,                  1.694,               0.000694,               0.000694,               0.000694
                     97,                0.67177,                0.39423,                 1.1922,                 0.8467,                0.82536,                0.88798,                0.56306,                 1.3128,                0.75751,                  1.693,               0.000595,               0.000595,               0.000595
                     98,                0.66124,                0.38181,                 1.1837,                0.84504,                0.82497,                 0.8852,                0.56453,                 1.3123,                0.75817,                 1.6945,               0.000496,               0.000496,               0.000496
                     99,                0.66248,                0.38538,                  1.182,                0.85117,                0.82066,                0.88329,                0.56315,                 1.3124,                0.75706,                 1.6972,               0.000397,               0.000397,               0.000397
                    100,                0.64998,                0.37569,                 1.1717,                0.84848,                0.82223,                 0.8823,                0.56292,                 1.3123,                 0.7575,                 1.6997,               0.000298,               0.000298,               0.000298
